	logFC	logCPM	F	PValue	FDR
Tatro_006114-T1	-1.7184833140219	2.02631373889004	37.7751154360917	3.62854806059454e-06	0.000435038722144881
Tatro_005906-T1	-1.26178505258836	4.37922332284825	37.1545889881912	4.07780584329532e-06	0.000482468817669889
Tatro_009948-T1	-1.05126283679077	3.83898345321463	37.0760746898677	4.13885379666047e-06	0.000483332121293129
Tatro_003971-T1	-1.15543276814399	6.46009890137296	36.9978437560144	4.20067621622626e-06	0.000484262570978288
Tatro_000360-T1	-0.784389703403362	5.58996515858695	36.6913442329383	4.4527951857355e-06	0.00050682954822954
Tatro_008164-T1	-0.815717026467293	6.13369137867959	36.1896632816933	4.90189753818261e-06	0.00054043125155137
Tatro_004674-T1	-0.899521107311696	6.71536894057903	36.1210622493158	4.96706413260687e-06	0.00054043125155137
Tatro_000689-T1	-1.09671417159949	7.2481630132362	36.1136434237234	4.97416808338582e-06	0.00054043125155137
Tatro_009076-T1	-0.720816131650479	5.86057796122675	35.8815526094342	5.20211408998514e-06	0.000556873927346981
Tatro_005606-T1	-1.12554420504488	5.94803806945663	35.6603505213201	5.43002811434458e-06	0.000574433091813959
Tatro_001099-T1	-2.39932605859669	4.40964380952957	34.7003887403275	6.55374198725117e-06	0.000677370666084626
Tatro_002423-T1	-0.685019741406082	5.96923740954919	34.0838295673964	7.40830739890843e-06	0.00075699431967028
Tatro_005015-T1	-0.707799172331724	10.1614602133618	33.8678307480186	7.73591082616694e-06	0.000781587754481945
Tatro_007605-T1	-1.12911610461714	10.0992881199702	33.2961602247664	8.68193865927346e-06	0.000857890026639417
Tatro_005358-T1	-0.86038660485015	9.79267217010639	33.1690439371859	8.90905458452904e-06	0.000870763248087882
Tatro_000233-T1	-1.02722183655346	6.6519333648958	33.0861986965373	9.06056400934927e-06	0.000876049371742673
Tatro_000425-T1	-1.49364053464728	5.11812921644285	32.5815248033472	1.00466022548361e-05	0.000950937341847223
Tatro_004880-T1	-0.730601279036809	6.75231238254032	31.6825626210856	1.21065391602668e-05	0.00113397916801166
Tatro_003307-T1	-0.689406389100794	6.80704038819418	31.5923862789771	1.23373988946504e-05	0.00114368959650202
Tatro_005569-T1	-1.24500222990001	3.51338972788615	31.49378043153	1.25953613145612e-05	0.0011504844000442
Tatro_007827-T1	-0.957281680372289	8.02804057633578	31.4669429191784	1.26665875894546e-05	0.0011504844000442
Tatro_001115-T1	-1.88184134128886	5.87304922365179	31.3387271518264	1.30130020660857e-05	0.00117012914578243
Tatro_009240-T1	-0.90640751196846	5.83922885180861	31.257919386437	1.32366426570274e-05	0.00117845436407911
Tatro_000802-T1	-0.822933979744319	7.01985392961632	30.902289741345	1.42720654836748e-05	0.00122426565241589
Tatro_010796-T1	-1.4109221921899	6.12873925478156	30.8479415492215	1.44379591236468e-05	0.00122426565241589
Tatro_005625-T1	-1.44795399783852	4.24875670343642	30.7479279110646	1.47487799322329e-05	0.00122426565241589
Tatro_008848-T1	-1.21448908027457	10.2066908658965	30.7041587149174	1.48871002155729e-05	0.00122426565241589
Tatro_008551-T1	-0.993259791161663	6.4739723519219	30.6760869475393	1.49765593600698e-05	0.00122426565241589
Tatro_005761-T1	-0.756371867419877	6.71936390058307	30.5576224305598	1.53606095244948e-05	0.00124434775535367
